Team,Group,ELO,K_att,K_def,lambda_atk_ref,lambda_def_ref,P_champion,IC_95,P_final,P_semis,P_quarters,P_r16,P_r32,Host
Spain,H,2181.9,0.9101,1.1816,1.1571,1.5022,17.79,0.75,29.26,45.15,62.43,81.46,98.8,False
Argentina,J,2169.0,0.9252,0.9985,1.1762,1.2694,16.88,0.73,25.75,37.1,53.12,77.09,97.91,False
France,I,2120.4,0.9404,0.9974,1.1957,1.268,10.51,0.6,17.85,29.07,45.6,75.46,96.23,False
Brazil,C,2060.8,0.9907,0.9674,1.2595,1.2299,8.44,0.54,16.42,28.77,48.38,68.63,96.59,False
Mexico,A,1927.1,0.964,0.8807,1.4988,0.9041,6.42,0.48,13.51,24.31,40.55,66.86,97.48,True
Colombia,K,2041.7,1.0391,0.9789,1.3211,1.2445,6.12,0.47,11.16,21.21,40.24,65.25,93.18,False
England,L,2044.7,0.9377,0.9502,1.1922,1.2081,4.79,0.42,9.43,18.29,36.31,62.96,96.15,False
Ecuador,E,1999.0,0.9076,0.8549,1.1539,1.0869,3.83,0.38,8.91,18.84,39.0,64.87,95.89,False
Portugal,K,2024.8,0.9699,0.9882,1.2331,1.2563,3.79,0.37,7.97,17.0,33.31,59.01,89.7,False
Netherlands,F,2009.9,0.9752,1.065,1.2398,1.354,3.08,0.34,7.17,15.69,33.28,61.14,90.71,False
Canada,B,1883.8,0.9506,0.8655,1.478,0.8884,2.94,0.33,6.93,14.65,28.89,55.49,97.32,True
Uruguay,H,1959.7,0.9193,0.8762,1.1687,1.114,2.28,0.29,5.89,14.38,29.6,54.03,92.4,False
Japan,F,1983.3,0.9499,0.9863,1.2076,1.2539,2.12,0.28,5.53,13.45,30.0,58.07,88.23,False
Belgium,G,1943.8,1.0338,0.9571,1.3144,1.2168,1.72,0.25,4.57,11.05,23.17,55.68,89.42,False
Germany,E,1984.8,0.9809,1.0994,1.2471,1.3978,1.57,0.24,4.64,12.11,28.71,53.75,93.05,False
Croatia,L,1980.8,0.9536,1.0652,1.2123,1.3543,1.19,0.21,3.3,9.18,21.85,45.87,88.82,False
Switzerland,B,1943.8,1.0297,1.0196,1.3092,1.2963,1.05,0.2,2.91,8.33,19.81,44.31,95.92,False
Morocco,C,1967.4,0.8951,0.9939,1.138,1.2636,1.03,0.2,2.95,8.05,20.7,41.19,85.71,False
Norway,I,1931.6,1.0393,1.0492,1.3213,1.3339,0.86,0.18,2.31,6.89,17.13,38.51,76.45,False
United States,D,1809.7,1.1092,1.0526,1.7246,1.0806,0.68,0.16,2.17,5.43,14.33,35.19,71.76,True
Paraguay,D,1893.3,0.9748,0.8806,1.2393,1.1195,0.62,0.15,1.88,5.04,13.51,34.31,70.22,False
