team,elo,K_att,K_def,n_games
New Zealand,1730.5,1.1272,0.9698,25
United States,1809.7,1.1092,1.0526,25
Sweden,1783.3,1.0708,1.1207,25
Jordan,1762.9,1.0678,0.9743,25
Norway,1931.6,1.0393,1.0492,25
Colombia,2041.7,1.0391,0.9789,25
Ghana,1626.0,1.0344,1.0005,25
Belgium,1943.8,1.0338,0.9571,25
Switzerland,1943.8,1.0297,1.0196,25
Curaçao,1586.0,1.0225,1.1188,25
Haiti,1675.8,1.0199,1.0423,25
Qatar,1553.5,1.0161,1.0482,25
Scotland,1790.7,1.0059,0.9358,25
Bosnia and Herzegovina,1651.3,1.0057,0.942,25
Brazil,2060.8,0.9907,0.9674,25
Germany,1984.8,0.9809,1.0994,25
South Africa,1644.7,0.9807,1.019,25
Netherlands,2009.9,0.9752,1.065,25
Paraguay,1893.3,0.9748,0.8806,25
Saudi Arabia,1669.8,0.9715,0.9632,25
Portugal,2024.8,0.9699,0.9882,25
Australia,1886.4,0.9651,0.9823,25
Czech Republic,1782.2,0.9646,1.0513,25
Mexico,1927.1,0.964,0.8807,25
Iran,1879.9,0.9607,0.9298,25
Austria,1887.9,0.9599,1.0062,25
Turkey,1928.4,0.9553,1.044,25
Croatia,1980.8,0.9536,1.0652,25
Canada,1883.8,0.9506,0.8655,25
Japan,1983.3,0.9499,0.9863,25
Algeria,1860.8,0.9495,0.9882,25
South Korea,1861.7,0.9494,1.0126,25
Tunisia,1762.4,0.9483,0.9381,25
France,2120.4,0.9404,0.9974,25
Cape Verde,1662.1,0.9393,0.9537,25
Panama,1824.7,0.9388,0.9902,25
England,2044.7,0.9377,0.9502,25
Ivory Coast,1798.0,0.9354,0.9199,25
Senegal,1921.9,0.9328,1.0083,25
Argentina,2169.0,0.9252,0.9985,25
Uruguay,1959.7,0.9193,0.8762,25
Uzbekistan,1817.6,0.9143,0.9268,25
Egypt,1791.1,0.9118,0.9126,25
Spain,2181.9,0.9101,1.1816,25
Ecuador,1999.0,0.9076,0.8549,25
Iraq,1723.7,0.9068,0.9525,25
Morocco,1967.4,0.8951,0.9939,25
DR Congo,1749.5,0.8932,0.9141,25
