date,home_team,away_team,home_score,away_score,tournament,neutral,elo_home_pre,elo_away_pre,delta_elo_raw,tournament_weight,K_used,G_used
1872-11-30,Scotland,England,0,0,Friendly,False,1500.0,1500.0,0.0,0.7,20,1.0
1873-03-08,England,Scotland,4,2,Friendly,False,1502.8012999960577,1497.1987000039423,5.602599992115302,0.7,20,1.5
1874-03-07,Scotland,England,2,1,Friendly,False,1486.6225308642745,1513.3774691357255,-26.75493827145101,0.7,20,1.0
1875-03-06,England,Scotland,2,2,Friendly,False,1505.4549455176289,1494.5450544823711,10.909891035257715,0.7,20,1.0
1876-03-04,Scotland,England,3,0,Friendly,False,1497.633108335869,1502.366891664131,-4.733783328261779,0.7,20,1.75
1876-03-25,Scotland,Wales,4,0,Friendly,False,1510.4513868995473,1500.0,10.451386899547288,0.7,20,1.875
1877-03-03,England,Scotland,1,3,Friendly,False,1489.5486131004527,1523.4336794470626,-33.88506634660985,0.7,20,1.5
1877-03-05,Wales,Scotland,0,2,Friendly,False,1487.0177074524847,1541.254127950709,-54.236420498224334,0.7,20,1.5
1878-03-02,Scotland,England,7,2,Friendly,False,1558.2185529062872,1471.7281645968062,86.49038830948098,0.7,20,2.0
1878-03-23,Scotland,Wales,9,0,Friendly,False,1568.4078853249753,1470.0532824969066,98.35460282806866,0.7,20,2.5
1879-01-18,England,Wales,2,1,Friendly,False,1461.5388321781181,1457.9539723818286,3.584859796289493,0.7,20,1.0
1879-04-05,England,Scotland,5,4,Friendly,False,1468.6427258843123,1580.5071954400532,-111.86446955574092,0.7,20,1.0
1879-04-07,Wales,Scotland,0,3,Friendly,False,1450.8500786756344,1570.1658412336733,-119.31576255803884,0.7,20,1.75
1880-03-13,Scotland,England,5,4,Friendly,False,1586.6939257802123,1478.9840800906923,107.70984568952008,0.7,20,1.0
1880-03-15,Wales,England,2,3,Friendly,False,1434.3219941290954,1474.3391664073167,-40.017172278221324,0.7,20,1.0
1880-03-27,Scotland,Wales,5,1,Friendly,False,1591.3388394635879,1422.6125003654636,168.7263390981243,0.7,20,1.875
1881-02-26,England,Wales,0,1,Friendly,False,1486.0486601709486,1416.0300296823991,70.01863048854943,0.7,20,1.0
1881-03-12,England,Scotland,1,6,Friendly,False,1471.5116328670836,1597.9213101466523,-126.40967727956877,0.7,20,2.0
1881-03-14,Wales,Scotland,1,5,Friendly,False,1430.567056986264,1616.403968192165,-185.83691120590083,0.7,20,1.875
1882-02-18,Northern Ireland,England,0,13,Friendly,False,1500.0,1453.028974821571,46.971025178429045,0.7,20,3.0
1882-02-25,Wales,Northern Ireland,7,1,Friendly,False,1416.357399749539,1458.0159383821356,-41.658538632596674,0.7,20,2.125
1882-03-11,Scotland,England,5,1,Friendly,False,1630.6136254288901,1495.0130364394354,135.60058898945476,0.7,20,1.875
1882-03-13,Wales,England,5,3,Friendly,False,1434.0722597137433,1487.3309979703267,-53.258738256583456,0.7,20,1.5
1882-03-25,Scotland,Wales,5,0,Friendly,False,1638.2956638979988,1447.0663641559952,191.2292997420036,0.7,20,2.0
1883-02-03,England,Wales,5,0,Friendly,False,1474.3368935280748,1440.763722604555,33.57317092351991,0.7,20,2.0
1883-02-24,England,Northern Ireland,7,0,Friendly,False,1487.0055000455147,1440.3010784179312,46.70442162758354,0.7,20,2.25
1883-03-10,England,Scotland,2,3,Friendly,False,1500.5319684644135,1644.598305449439,-144.0663369850256,0.7,20,1.0
1883-03-12,Wales,Scotland,0,3,Friendly,False,1428.095116087115,1653.3367318985315,-225.24161581141652,0.7,20,1.75
1883-03-17,Northern Ireland,Wales,1,1,Friendly,False,1426.7746099990325,1416.6436722976543,10.130937701378116,0.7,20,1.0
1884-01-26,Northern Ireland,Scotland,0,5,British Home Championship,False,1423.706852246673,1664.7881756879922,-241.08132344131923,1.0,30,2.0
1884-02-09,Wales,Northern Ireland,6,0,British Home Championship,False,1419.7114300500139,1405.2606368482154,14.450793201798433,1.0,30,2.125
1884-02-23,Northern Ireland,England,1,8,British Home Championship,False,1383.5217531672,1491.793542015321,-108.2717888481211,1.0,30,2.25
1884-03-15,Scotland,England,1,0,British Home Championship,False,1683.2343910864497,1524.7401696790741,158.49422140737556,1.0,30,1.0
1884-03-17,Wales,England,0,4,British Home Championship,False,1441.4503137310294,1519.2135621809296,-77.76324844990017,1.0,30,1.875
1884-03-29,Scotland,Wales,4,1,British Home Championship,False,1688.7609985845943,1411.5276968434734,277.23330174112084,1.0,30,1.75
1885-02-28,England,Northern Ireland,4,0,British Home Championship,False,1549.1361790684855,1350.5751255034468,198.56105356503872,1.0,30,1.875
1885-03-14,England,Wales,1,1,British Home Championship,False,1557.6886773970928,1406.15503334017,151.53364405692287,1.0,30,1.0
