id,home,away,elo_home,elo_away,delta_elo,delta_eff,k_att_home,k_def_home,k_att_away,k_def_away,lambda_home,lambda_away,rho,p_win_home,p_draw,p_win_away,p_avanca_home,p_avanca_away,resultado_home,resultado_away,P_0_0,P_0_1,P_0_2,P_0_3,P_0_4,P_0_5,P_0_6,P_0_7,P_1_0,P_1_1,P_1_2,P_1_3,P_1_4,P_1_5,P_1_6,P_1_7,P_2_0,P_2_1,P_2_2,P_2_3,P_2_4,P_2_5,P_2_6,P_2_7,P_3_0,P_3_1,P_3_2,P_3_3,P_3_4,P_3_5,P_3_6,P_3_7,P_4_0,P_4_1,P_4_2,P_4_3,P_4_4,P_4_5,P_4_6,P_4_7,P_5_0,P_5_1,P_5_2,P_5_3,P_5_4,P_5_5,P_5_6,P_5_7,P_6_0,P_6_1,P_6_2,P_6_3,P_6_4,P_6_5,P_6_6,P_6_7,P_7_0,P_7_1,P_7_2,P_7_3,P_7_4,P_7_5,P_7_6,P_7_7
R32_1,South Africa,Canada,1688.5,1845.6,-157.1,-257.2,0.983,0.9677,0.9874,0.9699,0.6384,1.9317,0.0872,11.57,18.59,69.84,16.19,83.81,,,6.76,17.098,14.132,9.1,4.394,1.698,0.547,0.151,5.105,8.527,9.022,5.81,2.806,1.084,0.349,0.096,1.544,2.982,2.88,1.854,0.896,0.346,0.111,0.031,0.329,0.635,0.613,0.395,0.191,0.074,0.024,0.007,0.052,0.101,0.098,0.063,0.03,0.012,0.004,0.001,0.007,0.013,0.012,0.008,0.004,0.002,0.0,0.0,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R32_2,Brazil,Japan,2077.0,1980.8,96.2,96.2,1.0143,1.0207,0.9617,0.9874,1.4759,0.9568,0.1078,51.14,23.58,25.28,65.44,34.56,,,7.427,9.245,4.009,1.279,0.306,0.059,0.009,0.001,14.984,11.036,5.917,1.887,0.451,0.086,0.014,0.002,9.54,9.128,4.366,1.393,0.333,0.064,0.01,0.001,4.693,4.49,2.148,0.685,0.164,0.031,0.005,0.001,1.732,1.657,0.793,0.253,0.06,0.012,0.002,0.0,0.511,0.489,0.234,0.075,0.018,0.003,0.001,0.0,0.126,0.12,0.058,0.018,0.004,0.001,0.0,0.0,0.027,0.025,0.012,0.004,0.001,0.0,0.0,0.0
R32_3,Germany,Paraguay,1983.2,1880.6,102.6,102.6,1.0322,1.1191,0.9721,0.9613,1.4813,1.0452,0.107,49.02,23.39,27.6,62.73,37.27,,,6.66,9.276,4.36,1.519,0.397,0.083,0.014,0.002,13.698,11.036,6.458,2.25,0.588,0.123,0.021,0.003,8.758,9.153,4.783,1.667,0.435,0.091,0.016,0.002,4.324,4.52,2.362,0.823,0.215,0.045,0.008,0.001,1.601,1.674,0.875,0.305,0.08,0.017,0.003,0.0,0.474,0.496,0.259,0.09,0.024,0.005,0.001,0.0,0.117,0.122,0.064,0.022,0.006,0.001,0.0,0.0,0.025,0.026,0.014,0.005,0.001,0.0,0.0,0.0
R32_4,Netherlands,Morocco,2021.3,1993.9,27.4,27.4,1.0139,1.0464,0.9533,0.9873,1.2781,1.1321,0.1157,41.47,24.49,34.04,54.45,45.55,,,7.476,11.496,5.754,2.171,0.614,0.139,0.026,0.004,13.173,11.488,7.354,2.775,0.785,0.178,0.034,0.005,7.333,8.302,4.699,1.773,0.502,0.114,0.021,0.003,3.124,3.537,2.002,0.755,0.214,0.048,0.009,0.001,0.998,1.13,0.64,0.241,0.068,0.015,0.003,0.0,0.255,0.289,0.164,0.062,0.017,0.004,0.001,0.0,0.054,0.062,0.035,0.013,0.004,0.001,0.0,0.0,0.01,0.011,0.006,0.002,0.001,0.0,0.0,0.0
R32_5,Ivory Coast,Norway,1841.0,1943.5,-102.5,-102.5,0.9738,0.9694,1.1375,1.1998,1.1227,1.646,0.107,26.78,21.95,51.27,35.68,64.32,,,5.026,12.128,8.487,4.656,1.916,0.631,0.173,0.041,7.879,10.339,9.528,5.228,2.151,0.708,0.194,0.046,3.949,6.499,5.349,2.935,1.208,0.398,0.109,0.026,1.478,2.432,2.002,1.098,0.452,0.149,0.041,0.01,0.415,0.683,0.562,0.308,0.127,0.042,0.011,0.003,0.093,0.153,0.126,0.069,0.028,0.009,0.003,0.001,0.017,0.029,0.024,0.013,0.005,0.002,0.0,0.0,0.003,0.005,0.004,0.002,0.001,0.0,0.0,0.0
R32_6,France,Sweden,2143.6,1790.0,353.6,353.6,0.9947,1.0724,1.1366,1.1355,2.7244,0.6434,0.0737,81.82,11.77,6.4,91.35,8.65,,,2.989,2.313,0.711,0.152,0.025,0.003,0.0,0.0,11.23,5.574,1.936,0.415,0.067,0.009,0.001,0.0,12.739,8.196,2.637,0.565,0.091,0.012,0.001,0.0,11.569,7.443,2.395,0.514,0.083,0.011,0.001,0.0,7.88,5.07,1.631,0.35,0.056,0.007,0.001,0.0,4.293,2.762,0.889,0.191,0.031,0.004,0.0,0.0,1.95,1.254,0.404,0.087,0.014,0.002,0.0,0.0,0.759,0.488,0.157,0.034,0.005,0.001,0.0,0.0
R32_7,Mexico,Ecuador,1976.9,1974.0,2.9,103.0,0.9526,0.9524,0.9244,0.9315,1.3258,0.8452,0.1069,49.91,25.44,24.65,65.45,34.55,,,10.013,10.484,4.063,1.145,0.242,0.041,0.006,0.001,17.22,11.383,5.387,1.518,0.321,0.054,0.008,0.001,9.997,8.45,3.571,1.006,0.213,0.036,0.005,0.001,4.418,3.734,1.578,0.445,0.094,0.016,0.002,0.0,1.464,1.238,0.523,0.147,0.031,0.005,0.001,0.0,0.388,0.328,0.139,0.039,0.008,0.001,0.0,0.0,0.086,0.073,0.031,0.009,0.002,0.0,0.0,0.0,0.016,0.014,0.006,0.002,0.0,0.0,0.0,0.0
R32_8,England,DR Congo,2073.1,1785.7,287.4,287.4,0.9439,1.0051,0.9752,0.9594,1.9371,0.6097,0.0831,70.61,18.47,10.92,84.66,15.34,,,6.99,4.965,1.441,0.293,0.045,0.005,0.001,0.0,17.431,8.394,2.791,0.567,0.086,0.011,0.001,0.0,14.542,8.867,2.703,0.549,0.084,0.01,0.001,0.0,9.39,5.725,1.746,0.355,0.054,0.007,0.001,0.0,4.547,2.773,0.845,0.172,0.026,0.003,0.0,0.0,1.762,1.074,0.327,0.067,0.01,0.001,0.0,0.0,0.569,0.347,0.106,0.021,0.003,0.0,0.0,0.0,0.157,0.096,0.029,0.006,0.001,0.0,0.0,0.0
R32_9,Belgium,Senegal,1962.2,1887.6,74.6,74.6,1.0461,1.0687,1.0623,1.0379,1.5304,1.1612,0.1103,47.49,22.68,29.83,60.38,39.62,,,5.444,8.871,4.566,1.767,0.513,0.119,0.023,0.004,12.113,10.707,6.987,2.705,0.785,0.182,0.035,0.006,7.93,9.208,5.347,2.07,0.601,0.14,0.027,0.004,4.045,4.697,2.727,1.056,0.306,0.071,0.014,0.002,1.548,1.797,1.043,0.404,0.117,0.027,0.005,0.001,0.474,0.55,0.319,0.124,0.036,0.008,0.002,0.0,0.121,0.14,0.081,0.032,0.009,0.002,0.0,0.0,0.026,0.031,0.018,0.007,0.002,0.0,0.0,0.0
R32_10,United States,Bosnia and Herzegovina,1851.0,1667.9,183.1,283.2,1.1612,1.0936,1.0336,0.9884,2.4356,0.7106,0.0837,76.66,14.31,9.03,87.74,12.26,,,3.653,3.216,1.078,0.255,0.045,0.006,0.001,0.0,12.523,6.774,2.627,0.622,0.111,0.016,0.002,0.0,12.669,9.003,3.199,0.758,0.135,0.019,0.002,0.0,10.286,7.309,2.597,0.615,0.109,0.016,0.002,0.0,6.263,4.45,1.581,0.375,0.067,0.009,0.001,0.0,3.051,2.168,0.77,0.182,0.032,0.005,0.001,0.0,1.238,0.88,0.313,0.074,0.013,0.002,0.0,0.0,0.431,0.306,0.109,0.026,0.005,0.001,0.0,0.0
