Team,Group,ELO,K_att,K_def,lambda_atk_ref,lambda_def_ref,P_champion,IC_95,P_final,P_semis,P_quarters,P_r16,P_r32,Host
Spain,H,2181.9,0.9569,1.0954,1.2166,1.3927,20.03,0.08,31.14,44.65,56.21,75.67,99.43,False
Argentina,J,2169.0,0.9318,0.9827,1.1846,1.2494,19.78,0.08,30.28,42.95,58.23,71.28,98.46,False
France,I,2120.4,0.9592,1.0504,1.2195,1.3355,11.26,0.06,19.71,34.38,51.15,74.4,96.68,False
Brazil,C,2060.8,0.9741,0.969,1.2384,1.232,6.6,0.05,12.93,25.16,42.24,65.11,96.97,False
Colombia,K,2041.7,1.0166,0.9776,1.2924,1.2429,6.2,0.05,12.53,22.48,41.09,69.18,94.18,False
England,L,2044.7,0.9548,0.9975,1.2139,1.2682,4.81,0.04,10.24,21.0,36.64,65.57,96.4,False
Mexico,A,1927.1,0.9513,0.9415,1.479,0.9665,4.71,0.04,10.1,21.65,40.47,68.7,97.42,True
Portugal,K,2024.8,0.9773,0.9923,1.2425,1.2615,3.99,0.04,8.97,17.52,33.8,62.59,91.59,False
Ecuador,E,1999.0,0.898,0.8989,1.1417,1.1429,2.71,0.03,6.54,15.12,28.92,58.31,95.37,False
Canada,B,1883.8,0.9417,0.9297,1.4641,0.9543,2.66,0.03,6.61,14.85,34.39,67.84,97.98,True
Netherlands,F,2009.9,0.9893,1.0443,1.2578,1.3278,2.46,0.03,6.03,14.11,29.02,50.31,91.9,False
Japan,F,1983.3,0.97,0.978,1.2332,1.2434,1.93,0.03,4.95,12.02,25.91,46.88,90.03,False
Germany,E,1984.8,0.9926,1.0392,1.2619,1.3211,1.8,0.03,4.81,12.15,25.11,54.57,94.64,False
Croatia,L,1980.8,0.9694,1.0379,1.2324,1.3196,1.58,0.02,4.29,10.8,22.52,50.86,91.64,False
Uruguay,H,1959.7,0.9314,0.9371,1.1841,1.1914,1.39,0.02,3.99,9.5,19.89,36.9,91.81,False
Switzerland,B,1943.8,1.0183,1.0124,1.2947,1.2872,1.34,0.02,3.98,10.45,27.69,61.59,96.87,False
Morocco,C,1967.4,0.911,0.9805,1.1583,1.2466,1.18,0.02,3.39,9.3,22.15,43.69,88.13,False
Belgium,G,1943.8,1.0108,1.0239,1.2851,1.3018,1.11,0.02,3.38,8.61,25.2,52.8,88.89,False
Norway,I,1931.6,1.065,1.0605,1.354,1.3483,0.76,0.02,2.42,7.07,17.39,39.69,78.49,False
United States,D,1809.7,1.0932,1.0374,1.6997,1.0649,0.67,0.02,2.17,5.93,18.04,41.6,73.35,True
Turkey,D,1928.4,0.9751,1.0144,1.2397,1.2897,0.63,0.02,2.05,5.69,17.22,40.41,72.3,False
Senegal,I,1921.9,0.9637,0.9934,1.2252,1.263,0.53,0.01,1.77,5.51,14.6,35.16,74.16,False
Paraguay,D,1893.3,0.9638,0.9318,1.2253,1.1847,0.44,0.01,1.51,4.48,14.35,35.88,67.98,False
Iran,G,1879.9,0.9651,0.9778,1.2271,1.2431,0.3,0.01,1.13,3.76,13.56,37.33,78.52,False
Australia,D,1886.4,0.9678,0.9771,1.2304,1.2422,0.29,0.01,1.07,3.43,11.76,31.58,63.44,False
Austria,J,1887.9,0.9648,1.0014,1.2266,1.2731,0.22,0.01,0.87,2.82,7.94,19.82,67.47,False
South Korea,A,1861.7,0.9787,0.9939,1.2443,1.2636,0.21,0.01,0.87,3.43,12.0,34.67,81.82,False
Algeria,J,1860.8,0.9695,0.9997,1.2326,1.271,0.11,0.01,0.51,1.86,5.96,16.3,60.61,False
Panama,L,1824.7,0.9624,1.0079,1.2235,1.2814,0.06,0.0,0.29,1.35,5.37,20.08,64.4,False
Uzbekistan,K,1817.6,0.929,0.9378,1.1812,1.1923,0.05,0.0,0.28,1.19,4.71,16.98,50.37,False
Ivory Coast,E,1798.0,0.9475,0.9435,1.2046,1.1995,0.04,0.0,0.24,1.21,5.3,19.83,67.66,False
Scotland,C,1790.7,0.9957,0.9575,1.2659,1.2174,0.04,0.0,0.21,1.06,4.99,16.2,57.51,False
Egypt,G,1791.1,0.927,0.9451,1.1786,1.2015,0.03,0.0,0.18,0.89,4.58,18.18,56.16,False
