group,game,team_a,team_b,elo_a,elo_b,delta_elo,delta_eff,k_att_a,k_def_a,k_att_b,k_def_b,lambda_base_a,lambda_base_b,lambda_a,lambda_b,rho,p_win_a,p_draw,p_win_b,expected_goals_a,expected_goals_b,P_0_0,P_0_1,P_0_2,P_0_3,P_0_4,P_0_5,P_0_6,P_0_7,P_1_0,P_1_1,P_1_2,P_1_3,P_1_4,P_1_5,P_1_6,P_1_7,P_2_0,P_2_1,P_2_2,P_2_3,P_2_4,P_2_5,P_2_6,P_2_7,P_3_0,P_3_1,P_3_2,P_3_3,P_3_4,P_3_5,P_3_6,P_3_7,P_4_0,P_4_1,P_4_2,P_4_3,P_4_4,P_4_5,P_4_6,P_4_7,P_5_0,P_5_1,P_5_2,P_5_3,P_5_4,P_5_5,P_5_6,P_5_7,P_6_0,P_6_1,P_6_2,P_6_3,P_6_4,P_6_5,P_6_6,P_6_7,P_7_0,P_7_1,P_7_2,P_7_3,P_7_4,P_7_5,P_7_6,P_7_7
A,1,Mexico,South Africa,1941.4,1636.7,304.7,404.7,0.9335,0.9062,0.9703,0.9577,2.657,0.4943,2.3754,0.4345,0.0398,81.39,13.46,5.14,2.375,0.435,5.74,2.646,0.565,0.082,0.009,0.001,0.0,0.0,15.563,5.933,1.342,0.194,0.021,0.002,0.0,0.0,16.887,7.338,1.594,0.231,0.025,0.002,0.0,0.0,13.371,5.81,1.262,0.183,0.02,0.002,0.0,0.0,7.94,3.45,0.75,0.109,0.012,0.001,0.0,0.0,3.772,1.639,0.356,0.052,0.006,0.0,0.0,0.0,1.493,0.649,0.141,0.02,0.002,0.0,0.0,0.0,0.507,0.22,0.048,0.007,0.001,0.0,0.0,0.0
A,2,Mexico,South Korea,1941.4,1870.9,70.6,170.6,0.9335,0.9062,0.9677,0.9652,1.78,0.8761,1.6038,0.7682,0.0888,59.08,22.72,18.2,1.604,0.768,8.263,7.614,2.738,0.701,0.135,0.021,0.003,0.0,16.999,10.416,4.391,1.124,0.216,0.033,0.004,0.0,11.932,9.167,3.521,0.902,0.173,0.027,0.003,0.0,6.379,4.901,1.882,0.482,0.093,0.014,0.002,0.0,2.558,1.965,0.755,0.193,0.037,0.006,0.001,0.0,0.82,0.63,0.242,0.062,0.012,0.002,0.0,0.0,0.219,0.168,0.065,0.017,0.003,0.0,0.0,0.0,0.05,0.039,0.015,0.004,0.001,0.0,0.0,0.0
A,3,Mexico,Czech Republic,1941.4,1790.3,151.1,251.1,0.9335,0.9062,0.9621,1.0078,2.059,0.7252,1.9371,0.6323,0.073,69.83,18.8,11.37,1.937,0.632,6.914,5.022,1.518,0.32,0.051,0.006,0.001,0.0,16.787,8.621,2.94,0.62,0.098,0.012,0.001,0.0,14.245,9.007,2.848,0.6,0.095,0.012,0.001,0.0,9.198,5.816,1.839,0.388,0.061,0.008,0.001,0.0,4.454,2.817,0.89,0.188,0.03,0.004,0.0,0.0,1.726,1.091,0.345,0.073,0.011,0.001,0.0,0.0,0.557,0.352,0.111,0.023,0.004,0.0,0.0,0.0,0.154,0.097,0.031,0.006,0.001,0.0,0.0,0.0
A,4,South Africa,South Korea,1636.7,1870.9,-234.1,-234.1,0.9703,0.9577,0.9677,0.9652,0.7552,1.9982,0.7073,1.8519,0.0764,13.81,20.02,66.17,0.707,1.852,6.914,16.241,13.174,8.132,3.765,1.394,0.43,0.114,5.727,9.294,9.317,5.751,2.663,0.986,0.304,0.081,1.922,3.558,3.295,2.034,0.942,0.349,0.108,0.028,0.453,0.839,0.777,0.479,0.222,0.082,0.025,0.007,0.08,0.148,0.137,0.085,0.039,0.015,0.004,0.001,0.011,0.021,0.019,0.012,0.006,0.002,0.001,0.0,0.001,0.002,0.002,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,5,South Africa,Czech Republic,1636.7,1790.3,-153.6,-153.6,0.9703,0.9577,0.9621,1.0078,0.9107,1.7244,0.8905,1.5889,0.092,21.61,22.89,55.5,0.89,1.589,7.264,15.207,10.541,5.583,2.218,0.705,0.187,0.042,8.045,10.728,9.386,4.971,1.975,0.627,0.166,0.038,3.311,5.26,4.179,2.213,0.879,0.279,0.074,0.017,0.983,1.561,1.24,0.657,0.261,0.083,0.022,0.005,0.219,0.348,0.276,0.146,0.058,0.018,0.005,0.001,0.039,0.062,0.049,0.026,0.01,0.003,0.001,0.0,0.006,0.009,0.007,0.004,0.002,0.0,0.0,0.0,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0
A,6,South Korea,Czech Republic,1870.9,1790.3,80.5,80.5,0.9677,0.9652,0.9621,1.0078,1.4976,1.0717,1.4605,0.9953,0.105,49.69,23.72,26.58,1.461,0.995,7.257,9.414,4.242,1.407,0.35,0.07,0.012,0.002,14.426,11.142,6.195,2.055,0.511,0.102,0.017,0.002,9.134,9.091,4.524,1.501,0.373,0.074,0.012,0.002,4.447,4.426,2.203,0.731,0.182,0.036,0.006,0.001,1.624,1.616,0.804,0.267,0.066,0.013,0.002,0.0,0.474,0.472,0.235,0.078,0.019,0.004,0.001,0.0,0.115,0.115,0.057,0.019,0.005,0.001,0.0,0.0,0.024,0.024,0.012,0.004,0.001,0.0,0.0,0.0
B,7,Canada,Bosnia and Herzegovina,1894.2,1647.2,246.9,347.0,0.9497,0.9269,0.9858,0.9464,2.4227,0.5729,2.1776,0.5235,0.0527,76.55,15.91,7.54,2.178,0.524,6.261,3.583,0.913,0.159,0.021,0.002,0.0,0.0,16.169,7.194,1.988,0.347,0.045,0.005,0.0,0.0,15.793,8.268,2.164,0.378,0.049,0.005,0.0,0.0,11.464,6.001,1.571,0.274,0.036,0.004,0.0,0.0,6.241,3.267,0.855,0.149,0.02,0.002,0.0,0.0,2.718,1.423,0.372,0.065,0.009,0.001,0.0,0.0,0.986,0.516,0.135,0.024,0.003,0.0,0.0,0.0,0.307,0.161,0.042,0.007,0.001,0.0,0.0,0.0
B,8,Canada,Qatar,1894.2,1549.5,344.6,444.7,0.9497,0.9269,1.0059,1.0384,2.8251,0.4452,2.7861,0.415,0.0307,86.47,10.05,3.48,2.786,0.415,3.931,1.713,0.351,0.049,0.005,0.0,0.0,0.0,12.325,4.568,0.978,0.135,0.014,0.001,0.0,0.0,15.816,6.565,1.362,0.188,0.02,0.002,0.0,0.0,14.689,6.096,1.265,0.175,0.018,0.002,0.0,0.0,10.231,4.246,0.881,0.122,0.013,0.001,0.0,0.0,5.701,2.366,0.491,0.068,0.007,0.001,0.0,0.0,2.647,1.099,0.228,0.032,0.003,0.0,0.0,0.0,1.054,0.437,0.091,0.013,0.001,0.0,0.0,0.0
B,9,Canada,Switzerland,1894.2,1951.1,-56.9,43.1,0.9497,0.9269,1.045,1.0252,1.3898,1.1617,1.3532,1.1252,0.1112,43.66,24.08,32.26,1.353,1.125,6.964,10.615,5.308,1.991,0.56,0.126,0.024,0.004,13.054,11.346,7.183,2.694,0.758,0.171,0.032,0.005,7.677,8.638,4.86,1.823,0.513,0.115,0.022,0.003,3.463,3.896,2.192,0.822,0.231,0.052,0.01,0.002,1.171,1.318,0.742,0.278,0.078,0.018,0.003,0.001,0.317,0.357,0.201,0.075,0.021,0.005,0.001,0.0,0.071,0.08,0.045,0.017,0.005,0.001,0.0,0.0,0.014,0.016,0.009,0.003,0.001,0.0,0.0,0.0
B,10,Bosnia and Herzegovina,Qatar,1647.2,1549.5,97.7,97.7,0.9858,0.9464,1.0059,1.0384,1.549,1.0321,1.5856,0.9826,0.1021,53.21,22.66,24.13,1.586,0.983,6.431,8.268,3.692,1.209,0.297,0.058,0.01,0.001,14.088,10.699,5.854,1.917,0.471,0.093,0.015,0.002,9.614,9.446,4.641,1.52,0.373,0.073,0.012,0.002,5.081,4.993,2.453,0.803,0.197,0.039,0.006,0.001,2.014,1.979,0.972,0.318,0.078,0.015,0.003,0.0,0.639,0.628,0.308,0.101,0.025,0.005,0.001,0.0,0.169,0.166,0.081,0.027,0.007,0.001,0.0,0.0,0.038,0.038,0.018,0.006,0.001,0.0,0.0,0.0
B,11,Bosnia and Herzegovina,Switzerland,1647.2,1951.1,-303.8,-303.8,0.9858,0.9464,1.045,1.0252,0.638,2.255,0.6448,2.2302,0.062,9.31,16.07,74.62,0.645,2.23,5.105,14.227,13.938,10.361,5.777,2.577,0.958,0.305,3.758,7.56,8.987,6.681,3.725,1.661,0.618,0.197,1.165,2.598,2.897,2.154,1.201,0.536,0.199,0.063,0.25,0.558,0.623,0.463,0.258,0.115,0.043,0.014,0.04,0.09,0.1,0.075,0.042,0.019,0.007,0.002,0.005,0.012,0.013,0.01,0.005,0.002,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,12,Qatar,Switzerland,1549.5,1951.1,-401.5,-401.5,1.0059,1.0384,1.045,1.0252,0.4984,2.6437,0.514,2.8688,0.0405,4.27,10.19,85.54,0.514,2.869,3.198,10.892,13.996,13.383,9.598,5.507,2.633,1.079,1.784,4.812,7.193,6.878,4.933,2.83,1.353,0.555,0.449,1.289,1.848,1.768,1.268,0.727,0.348,0.143,0.077,0.221,0.317,0.303,0.217,0.125,0.06,0.024,0.01,0.028,0.041,0.039,0.028,0.016,0.008,0.003,0.001,0.003,0.004,0.004,0.003,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,13,Brazil,Morocco,2066.7,1970.4,96.4,96.4,1.0274,0.9647,0.9354,0.9432,1.545,1.0351,1.4972,0.9341,0.1023,52.19,23.54,24.27,1.497,0.934,7.514,8.973,3.825,1.191,0.278,0.052,0.008,0.001,15.139,11.009,5.728,1.783,0.416,0.078,0.012,0.002,9.828,9.18,4.288,1.335,0.312,0.058,0.009,0.001,4.905,4.582,2.14,0.666,0.156,0.029,0.005,0.001,1.836,1.715,0.801,0.249,0.058,0.011,0.002,0.0,0.55,0.514,0.24,0.075,0.017,0.003,0.001,0.0,0.137,0.128,0.06,0.019,0.004,0.001,0.0,0.0,0.029,0.027,0.013,0.004,0.001,0.0,0.0,0.0
C,14,Brazil,Haiti,2066.7,1702.9,363.9,363.9,1.0274,0.9647,1.0713,0.9934,2.4901,0.5489,2.5415,0.5673,0.0489,80.79,12.95,6.25,2.542,0.567,4.134,2.594,0.716,0.135,0.019,0.002,0.0,0.0,12.711,6.1,1.819,0.344,0.049,0.006,0.001,0.0,14.366,8.15,2.312,0.437,0.062,0.007,0.001,0.0,12.171,6.905,1.959,0.37,0.053,0.006,0.001,0.0,7.733,4.387,1.244,0.235,0.033,0.004,0.0,0.0,3.931,2.23,0.633,0.12,0.017,0.002,0.0,0.0,1.665,0.945,0.268,0.051,0.007,0.001,0.0,0.0,0.605,0.343,0.097,0.018,0.003,0.0,0.0,0.0
C,15,Brazil,Scotland,2066.7,1797.2,269.6,269.6,1.0274,0.9647,1.0148,0.9501,2.1265,0.6937,2.0758,0.6791,0.0692,71.2,17.66,11.14,2.076,0.679,5.7,4.491,1.456,0.33,0.056,0.008,0.001,0.0,14.994,8.288,3.023,0.684,0.116,0.016,0.002,0.0,13.608,9.241,3.138,0.71,0.121,0.016,0.002,0.0,9.415,6.394,2.171,0.491,0.083,0.011,0.001,0.0,4.886,3.318,1.127,0.255,0.043,0.006,0.001,0.0,2.028,1.378,0.468,0.106,0.018,0.002,0.0,0.0,0.702,0.477,0.162,0.037,0.006,0.001,0.0,0.0,0.208,0.141,0.048,0.011,0.002,0.0,0.0,0.0
C,16,Morocco,Haiti,1970.4,1702.9,267.5,267.5,0.9354,0.9432,1.0713,0.9934,2.1189,0.6972,1.9689,0.7044,0.0696,68.52,18.89,12.59,1.969,0.704,6.194,5.067,1.701,0.399,0.07,0.01,0.001,0.0,15.35,8.848,3.349,0.786,0.139,0.02,0.002,0.0,13.289,9.362,3.297,0.774,0.136,0.019,0.002,0.0,8.722,6.144,2.164,0.508,0.089,0.013,0.001,0.0,4.293,3.024,1.065,0.25,0.044,0.006,0.001,0.0,1.691,1.191,0.419,0.098,0.017,0.002,0.0,0.0,0.555,0.391,0.138,0.032,0.006,0.001,0.0,0.0,0.156,0.11,0.039,0.009,0.002,0.0,0.0,0.0
C,17,Morocco,Scotland,1970.4,1797.2,173.2,173.2,0.9354,0.9432,1.0148,0.9501,1.7886,0.8708,1.5895,0.8335,0.0883,56.96,22.95,20.09,1.59,0.834,7.794,7.9,3.067,0.852,0.178,0.03,0.004,0.0,16.001,10.663,4.875,1.354,0.282,0.047,0.007,0.001,11.152,9.296,3.874,1.076,0.224,0.037,0.005,0.001,5.909,4.925,2.053,0.57,0.119,0.02,0.003,0.0,2.348,1.957,0.816,0.227,0.047,0.008,0.001,0.0,0.746,0.622,0.259,0.072,0.015,0.003,0.0,0.0,0.198,0.165,0.069,0.019,0.004,0.001,0.0,0.0,0.045,0.037,0.016,0.004,0.001,0.0,0.0,0.0
C,18,Haiti,Scotland,1702.9,1797.2,-94.3,-94.3,1.0713,0.9934,1.0148,0.9501,1.0399,1.5387,1.0584,1.5512,0.1026,26.69,22.88,50.43,1.058,1.551,6.107,13.207,8.837,4.569,1.772,0.55,0.142,0.031,8.618,10.821,9.352,4.836,1.875,0.582,0.15,0.033,4.114,6.381,4.949,2.559,0.992,0.308,0.08,0.018,1.451,2.251,1.746,0.903,0.35,0.109,0.028,0.006,0.384,0.596,0.462,0.239,0.093,0.029,0.007,0.002,0.081,0.126,0.098,0.051,0.02,0.006,0.002,0.0,0.014,0.022,0.017,0.009,0.003,0.001,0.0,0.0,0.002,0.003,0.003,0.001,0.001,0.0,0.0,0.0
