team,elo,K_att,K_def,n_games
United States,1851.0,1.1612,1.0936,20
New Zealand,1686.6,1.1571,1.1143,20
Norway,1943.5,1.1375,1.1998,20
Sweden,1790.0,1.1366,1.1355,20
Jordan,1716.9,1.1338,1.1058,20
Haiti,1662.7,1.0663,1.0324,20
Curaçao,1588.0,1.0647,1.0655,20
Senegal,1887.6,1.0623,1.0379,20
Ghana,1674.7,1.0507,0.955,20
Switzerland,1956.8,1.0503,1.0699,20
Belgium,1962.2,1.0461,1.0687,20
Tunisia,1681.9,1.0364,1.0827,20
Turkey,1897.5,1.0342,1.1002,20
Bosnia and Herzegovina,1667.9,1.0336,0.9884,20
Germany,1983.2,1.0322,1.1191,20
Qatar,1538.6,1.0154,1.078,20
Brazil,2077.0,1.0143,1.0207,20
Panama,1764.5,1.014,1.012,20
Netherlands,2021.3,1.0139,1.0464,20
Uzbekistan,1733.1,1.0043,1.0002,20
Algeria,1880.8,1.0034,1.015,20
Scotland,1800.6,1.0021,0.9913,20
Saudi Arabia,1692.4,0.9989,0.9593,20
Czech Republic,1751.7,0.9979,1.0223,20
France,2143.6,0.9947,1.0724,20
Portugal,2030.4,0.9886,1.0372,20
Austria,1887.4,0.9882,1.0296,20
Canada,1845.6,0.9874,0.9699,20
Croatia,1951.0,0.987,1.0277,20
Cape Verde,1685.3,0.9862,0.971,20
Egypt,1830.5,0.9858,0.9646,20
Colombia,2059.2,0.9857,1.0141,20
South Korea,1841.6,0.984,0.9974,20
South Africa,1688.5,0.983,0.9677,20
Iraq,1671.6,0.979,1.0053,20
DR Congo,1785.7,0.9752,0.9594,20
Ivory Coast,1841.0,0.9738,0.9694,20
Australia,1888.2,0.9737,0.9673,20
Paraguay,1880.6,0.9721,0.9613,20
Iran,1881.2,0.9701,0.9905,20
Japan,1980.8,0.9617,0.9874,20
Uruguay,1919.2,0.9554,0.9584,20
Morocco,1993.9,0.9533,0.9873,20
Mexico,1976.9,0.9526,0.9524,20
England,2073.1,0.9439,1.0051,20
Spain,2167.4,0.9408,1.1493,20
Argentina,2191.7,0.9268,1.044,20
Ecuador,1974.0,0.9244,0.9315,20
