team,group,elo,K_att,K_def,xg_for_avg,xg_ag_avg,win_pct_avg
Spain,H,2234.1,0.952,1.1819,2.517,0.526,79.7
Argentina,J,2190.5,0.9444,0.9511,2.2,0.568,76.9
Mexico,A,1969.4,0.9611,0.9051,2.127,0.583,74.6
Canada,B,1902.4,0.9497,0.9107,2.059,0.679,68.9
England,L,2095.6,0.9608,1.0206,2.019,0.729,68.1
France,I,2149.2,0.9499,1.1123,2.016,0.774,67.9
Brazil,C,2062.2,0.984,0.9641,1.843,0.745,64.7
Ecuador,E,2036.0,0.8815,0.867,1.763,0.668,64.3
Switzerland,B,1961.5,1.039,1.0257,2.024,0.832,63.8
Colombia,K,2060.2,1.0569,0.9597,1.77,0.782,62.8
Netherlands,F,2027.4,0.9796,1.1203,1.782,0.966,58.2
Germany,E,2000.5,0.9809,1.1149,1.722,0.911,56.4
Japan,F,2002.9,0.9543,1.0222,1.679,0.96,56.2
Uruguay,H,1981.1,0.915,0.904,1.526,0.938,53.7
Portugal,K,2040.1,0.9717,1.0453,1.521,0.944,53.1
Croatia,L,1997.1,0.9628,1.0915,1.605,1.053,51.6
Belgium,G,1936.4,1.0341,1.0469,1.554,1.033,51.6
Morocco,C,1997.7,0.8818,1.0261,1.409,1.008,48.1
Norway,I,1983.9,1.0321,1.148,1.479,1.263,44.8
South Korea,A,1884.5,0.9672,1.0517,1.372,1.182,44.1
Iran,G,1893.6,0.9687,0.983,1.333,1.123,43.7
United States,D,1831.4,1.1541,1.0824,1.407,1.284,41.8
Turkey,D,1973.7,0.9498,1.0934,1.291,1.241,39.6
Paraguay,D,1935.5,0.9472,0.9541,1.217,1.199,38.6
Senegal,I,1933.3,0.957,1.0487,1.24,1.351,37.2
Panama,L,1868.2,0.9534,1.0362,1.175,1.409,34.2
Australia,D,1919.2,0.9469,1.0164,1.142,1.333,33.4
Scotland,C,1838.8,1.0121,0.957,1.108,1.362,32.8
Ivory Coast,E,1802.4,0.9397,0.9419,1.068,1.334,32.4
New Zealand,G,1770.4,1.1914,1.0069,1.167,1.48,31.6
Austria,J,1888.1,0.9559,1.0406,1.081,1.489,31.0
Czech Republic,A,1786.4,0.9567,1.0693,1.042,1.544,29.1
Algeria,J,1865.3,0.9643,1.0389,1.024,1.566,28.2
Egypt,G,1805.2,0.8992,0.962,0.989,1.408,27.7
Uzbekistan,K,1845.2,0.9064,0.9349,0.89,1.434,26.1
Jordan,J,1811.1,1.1067,1.0254,1.01,1.692,25.9
Bosnia and Herzegovina,B,1663.0,1.0089,0.961,0.962,1.718,25.2
Sweden,F,1779.9,1.1222,1.123,1.064,1.794,24.6
Tunisia,F,1755.6,0.9644,0.9751,0.906,1.712,21.3
Saudi Arabia,H,1692.6,0.9875,0.9737,0.753,1.934,18.9
DR Congo,K,1779.8,0.8877,0.968,0.706,1.726,16.6
Cape Verde,H,1669.3,0.9532,0.9864,0.669,2.067,15.2
South Africa,A,1657.9,0.9824,1.0284,0.738,1.97,15.2
Haiti,C,1700.1,1.069,1.0304,0.742,1.987,14.2
Iraq,I,1741.1,0.8924,0.9979,0.672,2.018,12.3
Qatar,B,1557.5,1.033,1.1097,0.648,2.465,10.2
Ghana,L,1632.0,1.0417,0.9987,0.633,2.241,10.0
Curaçao,E,1621.7,0.9983,1.0805,0.605,2.246,9.5
