epoch,loss_train,nll_train,loss_val,nll_val,lr
1,2.783588,2.783036,2.588516,2.587444,0.0002
2,2.745961,2.742456,2.56941,2.566052,0.0002
3,2.731954,2.726746,2.569836,2.566388,0.0002
4,2.728197,2.722865,2.570288,2.566589,0.0002
5,2.72549,2.719896,2.569916,2.566495,0.0002
6,2.724785,2.719058,2.570141,2.566745,0.0002
7,2.723091,2.717291,2.568554,2.564964,0.0002
8,2.722246,2.716283,2.56735,2.563945,0.0002
9,2.721025,2.714909,2.567357,2.564263,0.0002
10,2.720498,2.714515,2.568223,2.564822,0.0002
11,2.719728,2.713641,2.56732,2.563735,0.0002
12,2.71917,2.713077,2.567184,2.563593,0.0002
13,2.719005,2.712809,2.566218,2.563041,0.0002
14,2.718111,2.711851,2.566778,2.563279,0.0002
15,2.71881,2.712639,2.566686,2.563222,0.0002
16,2.717844,2.711588,2.566801,2.56335,0.0002
17,2.717626,2.711382,2.567656,2.5637,0.0002
18,2.716541,2.710203,2.570324,2.566432,0.0002
19,2.717666,2.711377,2.565893,2.56211,0.0002
20,2.716703,2.710342,2.568189,2.564065,0.0002
21,2.716665,2.710249,2.566675,2.562777,0.0002
22,2.716743,2.710362,2.566669,2.562868,0.0002
23,2.71631,2.70996,2.566085,2.562506,0.0002
24,2.71612,2.709692,2.566221,2.562366,0.0002
25,2.716258,2.709858,2.569146,2.564855,0.0002
26,2.717416,2.711033,2.565574,2.562031,0.0002
27,2.71562,2.709221,2.569375,2.565174,0.0002
28,2.71569,2.709207,2.565417,2.561965,0.0002
29,2.71543,2.70902,2.568358,2.564015,0.0002
30,2.715354,2.708751,2.565739,2.56224,0.0002
31,2.71484,2.7084,2.567671,2.563898,0.0002
32,2.715584,2.709091,2.565749,2.56212,0.0001
33,2.715224,2.708933,2.5666,2.5625,0.0001
34,2.715414,2.708866,2.565762,2.56214,0.0001
35,2.714985,2.708526,2.565404,2.561833,0.0001
36,2.713725,2.707276,2.566288,2.562478,0.0001
37,2.71538,2.708915,2.565944,2.562046,0.0001
38,2.714883,2.708366,2.565159,2.561703,0.0001
39,2.714545,2.708057,2.567362,2.563333,0.0001
40,2.714361,2.707855,2.565984,2.562077,0.0001
41,2.714492,2.708031,2.565878,2.56199,0.0001
42,2.71531,2.708798,2.566179,2.562307,0.0001
43,2.714416,2.707896,2.565954,2.562161,0.0001
44,2.714654,2.708203,2.566533,2.562505,0.0001
45,2.714911,2.70846,2.567249,2.563032,0.0001
46,2.714302,2.707673,2.565307,2.561623,0.0001
47,2.714549,2.708053,2.565594,2.561904,0.0001
48,2.71427,2.707706,2.566092,2.562207,5e-05
49,2.713391,2.706715,2.5667,2.562736,5e-05
50,2.713516,2.706961,2.565614,2.561845,5e-05
51,2.713548,2.70691,2.56554,2.561823,5e-05
52,2.714148,2.707649,2.566018,2.562037,5e-05
53,2.713789,2.707085,2.565778,2.562005,5e-05
54,2.713117,2.706553,2.565707,2.562018,5e-05
55,2.714309,2.707807,2.566991,2.563032,5e-05
56,2.71341,2.706924,2.565792,2.561957,5e-05
57,2.713959,2.707294,2.56603,2.562204,5e-05
58,2.714177,2.707624,2.565133,2.56153,5e-05
59,2.713583,2.707034,2.566136,2.562322,5e-05
60,2.713647,2.707034,2.565561,2.561836,5e-05
61,2.713347,2.706774,2.566299,2.562473,5e-05
62,2.714047,2.707521,2.565541,2.5618,5e-05
63,2.713442,2.706929,2.566265,2.562347,5e-05
64,2.713596,2.707024,2.565492,2.561735,5e-05
65,2.714187,2.707497,2.565787,2.56208,5e-05
66,2.713537,2.707002,2.566461,2.562559,5e-05
67,2.714034,2.707508,2.565843,2.562014,5e-05
68,2.713478,2.706811,2.565468,2.561783,5e-05
69,2.71417,2.707572,2.565466,2.561847,5e-05
70,2.713587,2.707081,2.566505,2.562564,5e-05
71,2.713531,2.706912,2.565742,2.561905,2.5e-05
72,2.71371,2.707112,2.565556,2.561766,2.5e-05
73,2.713383,2.706699,2.566094,2.56224,2.5e-05
74,2.713204,2.706625,2.566204,2.562375,2.5e-05
75,2.714173,2.707636,2.565994,2.562124,2.5e-05
76,2.714301,2.707828,2.565897,2.562097,2.5e-05
77,2.713924,2.707246,2.56537,2.561698,2.5e-05
78,2.713549,2.707039,2.565534,2.561773,2.5e-05
79,2.713619,2.707008,2.566296,2.562409,2.5e-05
80,2.714112,2.707558,2.565794,2.56196,2.5e-05
81,2.712808,2.706244,2.566563,2.562553,2.5e-05
82,2.713216,2.706495,2.565977,2.562133,2.5e-05
83,2.71267,2.706064,2.565729,2.56191,2.5e-05
