epoch,loss_train,nll_train,loss_val,nll_val,lr
1,2.687777,2.687139,2.62159,2.620727,0.0002
2,2.644791,2.640605,2.606431,2.603843,0.0002
3,2.638617,2.633396,2.605935,2.603161,0.0002
4,2.636935,2.631391,2.605176,2.602494,0.0002
5,2.634202,2.628745,2.605072,2.602053,0.0002
6,2.632844,2.627077,2.604414,2.601599,0.0002
7,2.631797,2.626018,2.606309,2.602905,0.0002
8,2.630129,2.624175,2.603032,2.599924,0.0002
9,2.628747,2.622904,2.604334,2.601054,0.0002
10,2.626936,2.620758,2.602421,2.599379,0.0002
11,2.625844,2.619641,2.601351,2.598229,0.0002
12,2.626159,2.619853,2.601569,2.598477,0.0002
13,2.625159,2.618795,2.601284,2.598143,0.0002
14,2.623135,2.616526,2.601714,2.598702,0.0002
15,2.623872,2.617463,2.601121,2.598008,0.0002
16,2.623995,2.617502,2.602362,2.598882,0.0002
17,2.622722,2.615995,2.601375,2.597949,0.0002
18,2.622393,2.615555,2.60111,2.597714,0.0002
19,2.622735,2.616154,2.600511,2.596926,0.0002
20,2.621462,2.614771,2.599865,2.596506,0.0002
21,2.622425,2.615566,2.599155,2.595749,0.0002
22,2.621336,2.614535,2.599528,2.59587,0.0002
23,2.61942,2.612401,2.599136,2.595837,0.0002
24,2.620317,2.613524,2.599149,2.595812,0.0002
25,2.619894,2.612947,2.599463,2.596374,0.0002
26,2.619574,2.612698,2.598715,2.59526,0.0002
27,2.618298,2.611206,2.598754,2.595538,0.0002
28,2.619498,2.612522,2.599314,2.595834,0.0002
29,2.618566,2.611399,2.59937,2.596012,0.0002
30,2.617398,2.610313,2.599366,2.595568,0.0002
31,2.618818,2.611696,2.598123,2.594681,0.0002
32,2.617921,2.610845,2.599028,2.595228,0.0002
33,2.617545,2.610295,2.59877,2.595141,0.0002
34,2.617604,2.610477,2.601338,2.59746,0.0002
35,2.616558,2.609145,2.598926,2.594949,0.0002
36,2.616919,2.609599,2.598589,2.595097,0.0002
37,2.616896,2.60968,2.598367,2.594679,0.0002
38,2.61655,2.609269,2.598925,2.59524,0.0002
39,2.615956,2.608629,2.598173,2.59441,0.0002
40,2.615518,2.608158,2.598213,2.594546,0.0002
41,2.616664,2.60919,2.598597,2.594925,0.0002
42,2.616198,2.608839,2.598023,2.594152,0.0002
43,2.615463,2.607976,2.598291,2.594599,0.0002
44,2.615489,2.607909,2.59822,2.594328,0.0002
45,2.615761,2.608236,2.599917,2.595587,0.0002
46,2.614473,2.606839,2.599177,2.595104,0.0002
47,2.615846,2.60825,2.598542,2.595056,0.0002
48,2.615326,2.607803,2.598471,2.594788,0.0002
49,2.615896,2.608345,2.598124,2.594585,0.0002
50,2.614927,2.607425,2.599391,2.594738,0.0002
51,2.614931,2.607177,2.597213,2.593768,0.0002
52,2.615645,2.60818,2.598657,2.594567,0.0002
53,2.615273,2.607655,2.597963,2.593981,0.0002
54,2.61435,2.60674,2.599156,2.594786,0.0002
55,2.614738,2.607032,2.598299,2.594546,0.0002
56,2.613936,2.6064,2.598524,2.594307,0.0002
57,2.613539,2.60573,2.597401,2.593405,0.0002
58,2.614763,2.60706,2.597516,2.593688,0.0002
59,2.613746,2.60615,2.598284,2.593911,0.0002
60,2.6139,2.606077,2.597958,2.593804,0.0002
61,2.613936,2.606194,2.598624,2.594039,0.0002
62,2.612915,2.60507,2.597703,2.593238,0.0002
63,2.613069,2.605202,2.597999,2.593527,0.0002
64,2.613321,2.605379,2.5978,2.593525,0.0002
65,2.613241,2.6054,2.598514,2.593895,0.0002
66,2.613413,2.605546,2.597307,2.593309,0.0002
67,2.61249,2.604367,2.597348,2.593387,0.0002
68,2.613026,2.605229,2.597983,2.593552,0.0002
69,2.613152,2.605166,2.597483,2.593876,0.0002
70,2.612998,2.605118,2.59736,2.593419,0.0001
71,2.612629,2.604701,2.59723,2.59327,0.0001
72,2.612606,2.604678,2.597001,2.59295,0.0001
73,2.611589,2.603538,2.597667,2.593692,0.0001
74,2.611866,2.603963,2.597403,2.593358,0.0001
75,2.612712,2.604694,2.597283,2.592924,0.0001
76,2.611747,2.603564,2.597168,2.593242,0.0001
77,2.61168,2.60369,2.597717,2.593271,0.0001
78,2.612299,2.604259,2.597352,2.59318,0.0001
79,2.612319,2.604153,2.597061,2.592972,0.0001
80,2.610952,2.603003,2.597376,2.592913,0.0001
81,2.612078,2.603937,2.59729,2.593146,0.0001
82,2.612139,2.604153,2.597937,2.593097,0.0001
83,2.611852,2.603682,2.596897,2.592705,0.0001
84,2.611983,2.603841,2.596689,2.592715,0.0001
85,2.611533,2.603475,2.597635,2.593126,5e-05
86,2.611609,2.603536,2.597073,2.592727,5e-05
87,2.611778,2.60358,2.597299,2.592922,5e-05
88,2.610942,2.60281,2.597188,2.592892,5e-05
89,2.61171,2.603757,2.597517,2.59309,5e-05
90,2.611643,2.603612,2.597249,2.592919,5e-05
91,2.611769,2.603674,2.597038,2.592823,5e-05
92,2.61063,2.602406,2.597077,2.592798,5e-05
93,2.610191,2.602022,2.597016,2.592697,5e-05
94,2.61122,2.60314,2.597499,2.592824,5e-05
95,2.610651,2.602428,2.597197,2.592801,5e-05
96,2.610644,2.602339,2.59717,2.59282,5e-05
97,2.611425,2.603394,2.597562,2.59305,5e-05
98,2.610154,2.601947,2.597392,2.592766,2.5e-05
99,2.611372,2.603155,2.597087,2.592736,2.5e-05
100,2.611887,2.603651,2.597021,2.592719,2.5e-05
101,2.611341,2.603181,2.597021,2.592652,2.5e-05
102,2.610825,2.602676,2.597072,2.592613,2.5e-05
103,2.610346,2.602214,2.596943,2.592609,2.5e-05
104,2.610548,2.602357,2.596962,2.592594,2.5e-05
105,2.611454,2.603205,2.596919,2.592602,2.5e-05
106,2.610342,2.602157,2.596922,2.592539,2.5e-05
107,2.611115,2.603075,2.597071,2.592652,2.5e-05
108,2.611315,2.603228,2.596944,2.592604,2.5e-05
109,2.609976,2.601861,2.597066,2.592635,2.5e-05
110,2.610941,2.602758,2.59691,2.592522,2.5e-05
111,2.611166,2.602939,2.59689,2.592558,2.5e-05
112,2.609558,2.601384,2.597059,2.592643,2.5e-05
113,2.609327,2.60116,2.596998,2.592581,2.5e-05
114,2.611036,2.602835,2.596914,2.592588,1.25e-05
115,2.61125,2.603132,2.596867,2.592572,1.25e-05
116,2.610825,2.60271,2.596954,2.592576,1.25e-05
117,2.611046,2.602858,2.596929,2.592606,1.25e-05
118,2.610957,2.602822,2.596903,2.592562,1.25e-05
119,2.611091,2.602954,2.59707,2.592671,1.25e-05
